endToEndDelay:vector NetworkWithShapingAndPolicing.H2.app[0] (#0 - Exp2DropTailWithPolicingAndShaping-0-20210404-00:58:16-71548),
2.026599762304,0.477786260000000015
2.130099762304,0.561286259999999923
2.233599762304,0.644786260000000053
3.044849762304,1.436036259999999836
3.118099762304,1.489286260000000078
3.519349762304,1.870536259999999722
3.592599762304,1.923786259999999962
3.993849762304,2.305036259999999603
4.067099762304,2.358286259999999845
4.468349762304,2.73953625999999949
4.541599762304,2.792786259999999735
4.942849762304,3.174036259999999375
5.016099762304,3.227286259999999617
5.446099762304,3.637286259999999755
5.497849762304,3.669036259999999477
5.891849762304,4.043036259999999145
6.012099762304,4.143286259999999982
6.413349762304,4.524536259999999617
6.486599762304,4.577786259999999865
6.590099762304,4.641286259999999315
9.769849762304,7.42941239801399963
9.843099762304,7.48266239801399988
10.205349762304,7.80491239801400025
14.774349762304,11.74665871204999941
15.002849762304,11.95515871205000018
15.477349762304,12.38965871205000008
20.298849762304,16.53753955691900043
20.853099762304,17.05178955691899738
21.247849762304,10.59400047578800037
22.690657116389,1.935411385286999843
24.114157116389,3.238911385286999495
24.588657116389,3.673411385286999377
25.594104439436,4.598858708333999327
26.486657116389,5.411411385286999815
26.590157116389,5.494911385286998835
26.961157116389,5.84591138528699969
27.435657116389,6.28041138528699958
27.539157116389,6.363911385287000375
28.859157116389,7.583911385286999225
29.333657116389,8.018411385286999125
29.911657116389,8.53641138528699981
30.757157116389,9.32191138528699876
31.231657116389,9.75641138528699865
31.335157116389,9.83991138528699945
31.706157116389,10.19091138528699853
34.217157116389,12.34305993038399757
34.691657116389,12.77755993038399745
35.166157116389,13.21205993038399735
35.640657116389,13.64655993038400078
42.986657116389,19.97382350546499901
43.090157116389,20.05732350546499978
43.461157116389,20.40832350546499885
43.935657116389,20.84282350546499877
44.410157116389,21.27732350546499863
44.513657116389,21.36082350546499945
44.884657116389,21.71182350546499852
45.359157116389,22.1463235054649984
49.298407116389,25.04501209004399687
51.645407116389,26.61600659982200047
53.470157116389,27.73097252823200157
53.573657116389,27.71447252823200092
53.944657116389,27.90547252823199632
54.850657116389,28.26255490318899877
62.567407116389,32.80035933034500302
62.951157116389,32.7841093303449894
63.054657116389,32.74760933034499987
65.664157116389,33.64837889855799337
72.558657116389,34.9993138792879959
75.337157116389,34.9517083802529952
84.250657116389,35.06880679540100217
87.029157116389,35.6140867657990013
89.095907116389,36.46830142392199987
90.446157116389,36.76268955605499382
90.817157116389,36.8384540997659967
91.188157116389,36.53996548233999405
93.000157116389,36.0182730399779983
95.548657116389,35.57686008580799337
95.652157116389,35.18036008580799025
97.718907116389,35.56811590473699865
103.124657116389,35.1832392904089913
103.228157116389,35.08673929040899952
103.599157116389,34.6891526064209897
104.505157116389,34.1985662771649997
107.016157116389,34.62720887537498967
113.479157116389,34.75019583676399282
122.016157116389,36.64181369612599305
126.593907116389,36.76626825058499987
135.537657116389,37.13535212786599955
137.513657116389,37.01672834404600095
142.432157116389,37.81070855538798967
145.210657116389,37.46265953285499952
145.314157116389,37.02615953285499005
145.558657116389,36.0930683537740008
147.474157116389,35.66069857329298982
151.322657116389,35.8152032342759979
162.297407116389,36.60663159274199062
169.131407116389,35.84059330756200252
169.782657116389,35.68280951036699362
173.199657116389,36.42311537157499382
179.231157116389,35.76066739458299525
179.334657116389,35.72416739458299155
181.01654383675,0.89561962244799997
181.12004383675,0.979119622447999878
181.49104383675,1.330119622448000078
181.96554383675,1.764619622447999962
182.06904383675,1.848119622447999868
182.91454383675,2.633619622448000175
183.01804383675,2.717119622448000082
183.38904383675,3.068119622448000057
183.86354383675,3.50261962244799994
