endToEndDelay:vector NetworkWithShapingAndPolicing.H2.app[1] (#0 - Exp2DropTailWithPolicingAndShaping-0-20210404-00:58:16-71548),
2.993126002304,1.40028138591500006
3.467626002304,1.83478138591499994
3.942126002304,2.269281385914999828
4.416626002304,2.70378138591499971
4.891126002304,3.138281385914999592
5.365626002304,3.57278138591499948
5.840126002304,4.007281385915000255
6.361626002304,4.488781385914998957
7.845626002304,5.812781385914998785
9.718126002304,7.405281385914999925
12.047626002304,9.49478138591499738
13.117626002304,10.40478138591499751
14.722626002304,11.76978138591499952
17.380126002304,14.10728138591499806
18.450126002304,15.01728138591499822
20.122126002304,16.44928138591500038
33.002876002304,17.730031385914998
40.350376002304,30.4775313859150002
46.839183356389,23.48633874000000065
47.641683356389,24.04883874000000065
49.246683356389,25.17383874000000065
50.530357815195,25.97751319880600097
51.593683356389,26.68083873999999855
53.241683356389,27.72883874000000037
56.270183356389,29.07733873999999462
57.072683356389,29.63983873999999462
57.875183356389,30.2423387400000009
58.945183356389,30.9923387400000009
59.747683356389,31.5548387400000009
61.657683356389,32.54483874000000282
62.515683356389,33.00283874000000127
64.322683356389,33.48983873999999607
65.228683356389,33.8758387399999917
66.876683356389,34.44383873999998957
67.679183356389,34.96633873999999755
69.387683356389,34.91483873999999317
70.457683356389,34.82483873999998975
71.260183356389,34.94733873999999205
72.330183356389,35.0573387399999915
73.503683356389,35.3908387399999922
75.108683356389,35.2758387399999974
76.282183356389,35.04933873999999592
77.352183356389,35.19933874000000157
78.361683356389,35.40883873999999295
79.431683356389,35.5988387399999907
80.337683356389,35.38483873999999205
82.210183356389,35.93733874000000117
83.116183356389,35.56333873999999167
83.918683356389,35.56583873999998945
85.195683356389,35.56283873999998937
86.800683356389,35.64783873999999727
87.974183356389,36.38133873999998957
89.044183356389,36.5313387399999952
90.227193131897,37.0343485155080002
92.935683356389,37.02283873999999727
94.212683356389,36.53983873999999315
95.015183356389,36.54233873999999087
97.667183356389,35.75433873999999425
98.840683356389,35.7678387400000018
99.643183356389,35.93033873999999612
100.445683356389,36.01283873999999217
101.619183356389,36.10633873999999802
102.628683356389,35.7958387399999934
105.717683356389,34.64483873999999717
106.787683356389,35.19483873999999437
107.961183356389,35.00833873999999915
109.566183356389,35.13333873999999915
110.575683356389,34.62283873999999157
111.645683356389,34.61283874000000065
112.448183356389,34.81533874000000127
113.250683356389,35.0178387400000018
115.531683356389,35.89883874000000205
116.334183356389,36.10133874000000257
117.136683356389,36.46383873999999975
118.042683356389,36.2098387399999949
119.915183356389,36.56233874000000117
120.717683356389,37.00483873999999657
121.787694976389,36.87485035999999625
122.961183356389,37.12833873999998945
123.763683356389,37.33083873999999
125.472183356389,37.1193387400000033
126.542183356389,37.10933873999999817
127.715683356389,36.6828387399999939
128.518183356389,36.80533873999999612
129.320683356389,37.04783874000000295
130.390683356389,37.51783874000000177
131.564183356389,37.13133873999998957
133.436683356389,37.48383873999999577
134.239183356389,37.32633873999999692
135.041683356389,37.40883873999999295
136.215183356389,37.54233873999999087
137.285183356389,37.85233873999999315
139.261183356389,37.86833873999999852
140.063683356389,38.310838739999994
141.133683356389,38.78083873999999282
143.377183356389,38.30433873999999132
144.179683356389,38.10683874000000045
144.982183356389,37.94933874000000157
146.874683356389,36.0018387399999965
148.419183356389,35.90633873999999525
150.291683356389,36.05883873999999865
151.094183356389,36.22133873999999295
152.535183356389,36.26233873999998975
153.337683356389,36.54483874000000282
154.140183356389,36.6273387399999989
155.886183356389,36.53333873999999055
156.956183356389,37.123338739999994
157.758683356389,37.32583873999999455
158.561183356389,37.40833873999999055
159.363683356389,37.57083873999999912
160.433683356389,37.72083873999999055
162.245683356389,36.9328387399999939
163.419183356389,37.02633873999999975
164.325183356389,37.052338739999996
165.127683356389,37.05483873999999377
166.404683356389,36.53183873999999755
168.277183356389,36.52433873999999025
169.079683356389,36.64683873999999252
170.460183356389,36.22733873999999315
171.633683356389,36.32083873999999912
172.436183356389,36.56333873999999165
174.679683356389,36.44683873999998967
175.482183356389,36.60933873999999817
176.284683356389,36.49183873999999132
177.190683356389,36.59783874000000015
179.002683356389,36.36983873999999145
180.547183356389,36.03433873999999532
190.323683356389,37.05083874000000305
192.506683356389,36.1138387399999913
193.39332007675,12.04047546036099797
203.681183356389,37.68833873999999165
205.00032007675,21.9674754603610011
206.60532007675,23.0924754603610011
207.426183356389,39.11333874000000305
209.031183356389,39.31833874000000132
210.02232007675,25.30947546036099985
214.19932007675,27.16647546036099915
215.26932007675,27.95647546036099827
216.296683356389,38.70383873999999462
218.15132007675,29.8784754603609953
219.75632007675,31.0034754603609953
220.585683356389,28.35283873999999562
221.655683356389,29.10283873999999562
223.528183356389,30.41533873999999562
224.330683356389,30.97783873999999562
226.44632007675,31.57347546036099562
