packetReceived:vector(packetBytes) NetworkWithShapingAndPolicing.H2.app[1] (#0 - Exp3RoundRobinWithPolicingAndShaping-0-20210404-00:58:48-71596),
330.957933356389,500
333.56907007675,500
335.266433356389,500
336.24407007675,500
337.04657007675,500
337.941433356389,500
339.813933356389,500
340.811419491375,500
342.12957007675,500
342.93207007675,500
344.00207007675,500
345.60707007675,500
346.40957007675,500
347.47957007675,500
351.75207007675,500
352.55457007675,500
353.35707007675,500
354.42707007675,500
355.49707007675,500
357.10207007675,500
358.17207007675,500
358.97457007675,500
359.840683356389,500
363.52458169675,500
364.59457007675,500
366.19957007675,500
367.26957007675,500
368.07207007675,500
368.87457007675,500
369.94457007675,500
371.575683356389,500
375.856183356389,500
376.658683356389,500
378.531183356389,500
379.333683356389,500
380.136183356389,500
381.206183356389,500
382.008683356389,500
385.756183356389,500
386.558683356389,500
388.256183356389,500
389.233683356389,500
390.036183356389,500
391.106183356389,500
391.908683356389,500
392.803683356389,500
394.583683356389,500
396.781183356389,500
397.751183356389,500
399.456183356389,500
400.258683356389,500
401.496183356389,500
402.398683356389,500
403.201183356389,500
404.973683356389,500
405.876183356389,500
408.252683356389,500
410.158683356389,500
412.031183356389,500
413.032683356389,500
413.835183356389,500
414.706183356389,500
415.707683356389,500
417.580183356389,500
421.315683356389,500
423.188183356389,500
423.990683356389,500
424.793183356389,500
425.696183356389,500
426.665683356389,500
428.371183356389,500
429.340683356389,500
433.136683356389,500
433.939183356389,500
436.881683356389,500
437.684183356389,500
438.486683356389,500
440.359183356389,500
441.161683356389,500
442.231683356389,500
443.034183356389,500
444.909183356389,500
445.711683356389,500
446.781683356389,500
448.386683356389,500
449.456683356389,500
450.259183356389,500
451.329183356389,500
452.131683356389,500
453.736683356389,500
454.806683356389,500
456.644183356389,500
458.249183356389,500
459.319183356389,500
460.121683356389,500
461.191683356389,500
461.994183356389,500
463.866683356389,500
464.669183356389,500
465.471683356389,500
466.274183356389,500
468.646683356389,500
469.449183356389,500
471.321683356389,500
472.391683356389,500
473.194183356389,500
473.996683356389,500
475.066683356389,500
476.688933356389,500
477.741683356389,500
480.154933356389,500
482.027433356389,500
482.829933356389,500
483.899944976389,500
484.702433356389,500
485.772433356389,500
487.377433356389,500
488.202683356389,500
489.249933356389,500
490.052433356389,500
492.194933356389,500
492.997433356389,500
494.602433356389,500
495.672433356389,500
496.474933356389,500
497.277433356389,500
498.347433356389,500
499.952433356389,500
501.022433356389,500
501.824933356389,500
503.731933356389,500
505.489683356389,500
506.292183356389,500
507.209433356389,500
508.164683356389,500
509.884433356389,500
510.686933356389,500
511.642183356389,500
512.444683356389,500
513.361933356389,500
515.234933356389,500
516.304933356389,500
517.374933356389,500
