endToEndDelay:vector NetworkWithShapingAndPolicing.H2.app[1] (#0 - Exp1DropTailWithoutPolicingAndShaping-0-20210404-00:57:15-71490),
2.993126002304,1.40028138591500006
3.467626002304,1.83478138591499994
3.942126002304,2.269281385914999828
4.416626002304,2.70378138591499971
4.891126002304,3.138281385914999592
5.365626002304,3.57278138591499948
5.840126002304,4.007281385915000255
6.361626002304,4.488781385914998957
6.836126002304,4.92328138591499885
7.310626002304,5.35778138591499872
7.578126002304,5.585281385914999655
7.845626002304,5.812781385914998785
8.113126002304,6.040281385914999715
8.380626002304,6.26778138591499886
8.648126002304,6.495281385914999785
8.915626002304,6.72278138591499893
9.183126002304,6.95028138591499986
9.450626002304,7.177781385914999005
9.718126002304,7.405281385914999925
10.089126002304,7.73628138591499945
10.630626002304,8.237781385914999505
11.614126002304,9.181281385914999725
12.290626002304,9.81778138591499778
12.909126002304,10.39628138591499957
13.176626002304,10.62378138591499871
13.444126002304,10.85128138591499786
13.711626002304,11.07878138591500058
14.054626002304,11.38178138591499785
14.357626002304,11.64478138591499952
14.625126002304,11.87228138591499865
14.892626002304,12.09978138591499781
15.160126002304,12.32728138591500052
15.427626002304,12.55478138591499966
15.756626002304,12.84378138591499756
15.962626002304,13.00978138591499796
16.472126002304,13.47928138591499797
17.112126002304,14.07928138591499937
17.632126002304,14.55928138591499981
18.706626002304,15.59378138591499756
18.974126002304,15.82128138591500026
19.241626002304,16.04878138591499941
19.509126002304,3.71628138591499989
19.776626002304,16.54378138591499683
20.044126002304,14.17128138591499816
20.311626002304,4.47878138591499918
20.579126002304,17.3062813859149997
20.846626002304,14.93378138591499743
21.114126002304,5.24128138591500024
21.522626002304,18.20978138591500077
21.893626002304,15.90078138591499971
22.161126002304,18.80828138591499502
22.428626002304,6.51578138591499998
22.696126002304,16.58328138591500071
23.067126002304,19.67428138591499468
23.438126002304,17.2052813859150006
23.705626002304,20.27278138591499603
23.973126002304,8.020281385914998375
24.240626002304,17.84778138591499888
24.715126002304,21.24228138591499962
24.982626002304,18.46978138591499877
25.250126002304,9.25728138591500023
25.517626002304,22.00478138591499535
25.888626002304,19.25578138591500015
26.259626002304,22.70678138591500062
26.527126002304,19.73428138591499696
26.794626002304,10.7617813859150004
27.062126002304,23.4692813859149964
27.458626002304,20.54578138591499928
27.829626002304,24.1967813859149955
28.097126002304,21.02428138591499608
28.364626002304,12.29178138591499797
28.632126002304,24.95928138591499835
28.899626002304,21.70678138591500063
29.167126002304,13.0542813859150008
29.434626002304,25.7217813859150012
29.702126002304,22.38928138591499808
29.969626002304,13.81678138591500011
30.340626002304,26.58778138591500087
30.711626002304,14.51878138591499828
31.082626002304,23.48978138591499477
31.350126002304,15.11728138591499965
31.655126002304,27.86228138591499707
31.922626002304,24.20978138591500072
32.293626002304,16.02078138591500071
32.664626002304,24.79178138591500147
32.932126002304,16.619281385914995
33.199626002304,29.36678138591499717
33.570626002304,25.65778138591500115
33.941626002304,17.58878138591499856
34.209126002304,26.1762813859149971
34.476626002304,30.60378138591499905
34.744126002304,18.35128138591500137
35.115126002304,27.00228138591499765
35.486126002304,19.0532813859149996
35.753626002304,27.600781385914999
36.021126002304,32.10828138591499212
36.288626002304,19.81578138591499531
36.763126002304,28.4902813859149971
37.030626002304,20.51778138591500058
37.298126002304,33.34528138591500112
37.565626002304,29.252781385915
37.936626002304,21.38378138591500025
38.307626002304,29.91478138591499902
38.575126002304,21.9822813859150016
38.842626002304,34.84978138591499415
39.110126002304,30.5972813859149965
39.481126002304,22.84828138591500127
39.852126002304,31.21928138591499632
40.227193131897,23.55434851550799627
40.490626002304,36.45778138591499827
40.965126002304,24.25228138591499765
41.232626002304,32.31978138591499305
41.537626002304,37.46478138591500327
41.805126002304,25.05228138591499477
42.072626002304,33.0397813859149919
42.582626002304,33.3897813859150004
42.850126002304,26.0572813859149973
43.117626002304,39.0047813859149953
43.488626002304,26.65578138591499867
43.756126002304,34.44328138591500012
44.127126002304,34.69428138591499062
44.394626002304,27.52178138591499832
44.662126002304,40.50928138591500255
45.240126002304,28.3272813859150004
45.507626002304,35.79478138591500155
45.878626002304,41.68578138591499267
46.146126002304,36.27328138591499837
46.413626002304,29.46078138591499837
47.095126002304,37.1022813859149919
47.466126002304,43.23328138591499207
47.837126002304,30.84428138591499632
48.518626002304,44.24578138591499492
49.200126002304,38.0872813859149913
49.571126002304,38.2182813859149915
49.942126002304,38.34928138591499177
50.227193131897,44.95434851550800187
50.580626002304,45.18778138591500217
50.848126002304,39.13528138591499315
51.322626002304,39.20978138591499362
51.731126002304,39.37828138591500232
52.205626002304,39.41278138591499655
52.473126002304,35.00028138591500225
52.844126002304,35.33128138591499105
53.215126002304,40.14228138591499815
53.689626002304,36.09678138591499405
53.957126002304,40.60428138591500142
