endToEndDelay:vector NetworkWithShapingAndPolicing.H2.app[0] (#0 - Exp3RoundRobinWithPolicingAndShaping-0-20210404-00:58:48-71596),
2.026599762304,0.477786260000000015
2.130099762304,0.561286259999999923
2.233599762304,0.644786260000000053
2.337099762304,0.728286259999999959
2.440599762304,0.811786259999999867
2.544099762304,0.895286259999999995
2.647599762304,0.978786259999999904
2.751099762304,1.062286260000000033
2.854599762304,1.145786259999999941
2.958099762304,1.229286259999999847
14.225349762304,12.43653626000000041
14.326099762304,12.47728625999999957
14.636599762304,12.72778625999999841
16.544849799132,0.477786260000000015
17.830599799132,0.89680511422699993
17.934099799132,0.980305114226999836
18.244599799132,1.230805114227000001
18.555099799132,1.481305114226999722
28.599099799132,11.44530511422700053
28.909599799132,11.61345542111699907
40.202599799132,22.80645542111700043
40.343599799132,22.92745542111699553
40.720099799132,23.22395542111699727
51.069155298807,0.728286259999999959
51.379655298807,0.978786259999999904
52.078599799132,0.663529448542000019
62.523905298807,11.08883494821699851
62.650905298807,11.19583494821699782
62.931155298807,11.15504101033300084
63.241655298807,11.40554101033299966
74.287655298807,22.39154101033300026
74.598155298807,22.64204101033299553
74.908655298807,22.89254101033299796
75.219155298807,23.14304101033300032
81.454092110498,0.477786260000000015
81.868092110498,0.811786259999999867
82.178592110498,1.062286260000000033
93.189092110498,12.01278625999999856
93.292592110498,12.09628625999999935
93.603092110498,12.3467862599999982
104.961592110498,23.58528625999999652
105.065092110498,23.6687862599999973
105.168592110498,23.75228625999999807
105.479092110498,24.0027862600000005
105.893092110498,24.33678625999999657
117.054842110498,35.29538979941499112
117.249592110498,35.08642409919399077
117.663592110498,35.4204240991939939
128.512592110498,46.24942409919400155
128.616092110498,46.3329240991940024
128.719592110498,46.41642409919400315
129.237092110498,45.9687321889859957
130.708342110498,0.585518818593999898
131.01904383675,0.816220544846000037
132.50304383675,0.912443496449000019
142.488842110498,10.85824177019700082
142.77954383675,9.97215228126700023
143.09004383675,10.22265228126699906
154.261342110498,21.33395055501500072
154.44854383675,21.46115228126699737
155.06954383675,21.93873002792300032
162.919657116389,0.784139437478999831
163.126657116389,0.951139437478999866
163.437157116389,1.20163943747899981
165.145657116389,0.775460605818999889
165.249157116389,0.858960605819000019
165.352657116389,0.942460605818999926
173.049657116389,8.5994606058190008
173.463657116389,8.933460605819000435
173.774157116389,9.183960605818999265
185.441157116389,20.67096060581899753
185.751657116389,20.92146060581899993
196.590657116389,31.7404606058189954
196.694157116389,31.82396060581899617
196.797657116389,31.0511812579069967
197.004657116389,28.60920476851899952
197.315157116389,27.70219388025800087
201.728907116389,1.173028503373999771
201.857657116389,1.241778503373999858
202.168157116389,1.492278503374000025
213.233907116389,12.45802850337399897
213.428657116389,12.59277850337399935
213.739157116389,12.8432785033739982
224.693907116389,23.77802850337399565
224.888657116389,23.91277850337399955
225.199157116389,24.16327850337399485
236.753407116389,35.5775285033739975
236.971657116389,35.7357785033739929
237.282157116389,35.98627850337399525
238.890407116389,6.366609141103999975
239.200907116389,6.305171924227000315
249.451907116389,16.4761719242269961
249.762407116389,16.74667192422700165
250.072907116389,17.01717192422700003
261.224407116389,28.10867192422699632
261.638407116389,28.46267192422699552
272.686407116389,39.45067192422699507
272.996907116389,39.4582871364439994
273.307407116389,39.70878713644400175
273.617907116389,39.95928713644399
284.421407116389,50.7427871364439935
284.524907116389,50.8262871364439944
284.628407116389,50.90978713644399515
284.938907116389,51.040287136443993
285.249407116389,44.07107066062799545
291.164657116389,0.865239578596999954
292.68854383675,1.323438963909999703
302.45229383675,11.06718896390999869
302.61929383675,11.2141889639100007
302.93954383675,11.45443896391000033
