endToEndDelay:vector NetworkWithShapingAndPolicing.H2.app[0] (#0 - Exp1DropTailWithoutPolicingAndShaping-0-20210404-00:57:15-71490),
2.026599762304,0.477786260000000015
2.130099762304,0.561286259999999923
2.233599762304,0.644786260000000053
3.044849762304,1.436036259999999836
3.118099762304,1.489286260000000078
3.519349762304,1.870536259999999722
3.592599762304,1.923786259999999962
3.993849762304,2.305036259999999603
4.067099762304,2.358286259999999845
4.468349762304,2.73953625999999949
4.541599762304,2.792786259999999735
4.942849762304,3.174036259999999375
5.016099762304,3.227286259999999617
5.446099762304,3.637286259999999755
5.497849762304,3.669036259999999477
5.891849762304,4.043036259999999145
6.012099762304,4.143286259999999982
6.413349762304,4.524536259999999617
6.486599762304,4.577786259999999865
6.887849762304,4.959036259999999515
6.961099762304,5.01228625999999975
9.769849762304,7.42941239801399963
10.140849762304,7.780412398013998715
10.214099762304,7.833662398013998975
10.682349762304,8.28191239801400055
10.959099762304,8.5386623980140008
11.671099762304,9.23066239801399742
11.820099762304,9.35966239801399875
16.592599762304,13.56490871204999843
17.196599762304,14.14890871204999805
17.282599762304,14.21490871205000055
17.683849762304,14.59615871204999843
17.757099762304,14.64940871205000043
21.165849762304,5.278786223172000165
21.574349762304,5.667286223171998905
22.747849762304,6.82078622317199998
23.118849762304,7.171786223171999065
24.292349762304,8.325286223172000155
24.365599762304,8.37853622317199861
25.569349762304,9.56228622317199847
25.940349762304,9.91328622317199756
27.113849762304,11.06678622317199863
27.510349762304,11.44328622317199868
45.559349762304,28.6255550773989994
46.642099762304,29.68830507739900062
46.745599762304,29.77180507739900137
48.065599762304,31.07180507739899852
48.169099762304,31.1553050773989993
48.570349762304,31.53655507739900077
48.747099762304,31.65330507739899687
50.278916891897,32.98277251388199705
52.524849762304,35.02870538428899732
52.895849762304,35.35970538428900045
53.266849762304,35.71070538428899952
53.340099762304,35.76395538428899092
54.008849762304,36.37270538428899142
55.359099762304,37.5829553842889935
55.760349762304,37.96420538428900195
57.274599762304,39.3384553842889913
57.675849762304,39.7197053842889999
58.581849762304,40.54570538428899327
58.952849762304,40.8767053842889964
59.323849762304,41.06447345392099617
59.962349762304,41.30945799429998987
60.600849762304,41.54795799429999177
60.674099762304,41.3412079942999922
63.520349762304,42.785104031201996
63.593599762304,42.81835403120199125
63.697099762304,42.881854031201996
64.098349762304,43.1031040312019938
64.171599762304,43.11635403120199305
64.840349762304,43.54510403120200107
66.548849762304,44.57475257629899065
69.862349762304,46.86951615137999725
69.935599762304,46.82276615137999425
70.039099762304,46.866266151380003
70.145166891897,46.9323332809729974
74.157849762304,22.42173547382999737
74.796349762304,23.04023547382999471
74.869599762304,23.0934854738300003
75.805849762304,24.00973547382999827
75.879099762304,24.06298547382999677
76.651349762304,24.8152354738300004
77.022349762304,25.12623547383000037
77.928349762304,25.97223547382999687
78.402849762304,26.40673547382999677
78.773849762304,26.7177354738299967
79.144849762304,27.0687354738299958
84.514849762304,31.86724406983699955
84.588099762304,31.92049406983699795
85.256849762304,32.54924406983700167
85.895349762304,33.14774406983700305
86.266349762304,33.49874406983700212
91.860849762304,38.35738220196999737
92.766849762304,39.24338220196999302
94.475349762304,40.81188220196999327
94.846349762304,41.1428822019699963
96.019849762304,42.21638220196999202
97.728349762304,43.74964674568099077
98.634349762304,44.59564674568099445
99.272849762304,45.1741467456809997
99.911349762304,45.77264674568100115
101.924849762304,47.2166581282549911
101.998099762304,47.24990812825500065
107.481849762304,50.3399656858929914
107.852849762304,50.4309656858929996
112.808849762304,53.3604578480319985
113.714849762304,53.54305273172299425
113.788099762304,53.51630273172300155
113.891599762304,45.73018193632400125
